Gene	AAC(3)-IIc	AAC(3)-IId	AAC(3)-IIe	AAC(6')-Ib	AAC(6')-Ib'	AAC(6')-Ib10	AAC(6')-Ib4	AAC(6')-Ib7	AAC(6')-Ib8	AAC(6')-Ib9	AAC(6')-Ib-cr5	AAC(6')-Ib-cr6	aadA	aadA15	aadA16	aadA2	aadA22	aadA24	aadA25	aadA3	ANT(2'')-Ia	ANT(3'')-IIa	ANT3Ii_AAC6_IID	APH(3'')-Ib	APH(6)-Id	arr-2	arr-3	cmlA9	CTX-M-1	CTX-M-129	CTX-M-14	CTX-M-15	CTX-M-232	CTX-M-24	CTX-M-27	CTX-M-3	CTX-M-55	CTX-M-65	CTX-M-9	dfrA12	dfrA14	dfrA27	Ecol_catII	floR	FosA3	fosA5	FosA6	KPC-2	KPC-3	KPC-4	KPC-6	LAP-2	mphA	NDM-1	NDM-5	NDM-6	NDM-7	qacE	qacEdelta1	QnrB1	QnrB17	QnrB2	QnrB20	QnrB6	QnrS1	QnrS4	rmtB	SFO-1	SHV-1	SHV-11	SHV-12	SHV-28	SHV-5	sul1	sul2	TEM-1	TEM-112	TEM-135	TEM-141	TEM-156	TEM-160	TEM-163	TEM-169	TEM-176	TEM-196	TEM-2	TEM-206	TEM-214	TEM-215	TEM-216	TEM-30	TEM-40	TEM-81	tet(A)	tet(D)
N34	0	60334.55510807427	0	0	0	0	0	0	0	0	0	0	0	0	0	66600.0666	0	0	0	131181.94936376755	0	0	0	129224.00982102474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73622.52260211443	29449.009040845776	0	58898.01808169155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45250.916331055705	15083.638777018568	30167.277554037137	30167.277554037137	0	108225.10822510823	429717.3414820474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36581.79689786362	0	0	0	0	0	16787.536932581253	50362.61079774376	0	0	67150.14773032501	67150.14773032501	0	0	151087.83239323125	50362.61079774376	0	0	0	114531.79402602161	0	0	0	0	50020.00800320128	50020.00800320128	33346.67200213419	66693.34400426838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44766.765153550004	77808.90133831311	0	0	0	17080.002732800436	0	34160.00546560087	0	72087.65859284891	17080.002732800436	0	0	17080.002732800436	0	0	0	0	0	17080.002732800436	0	0	0	17080.002732800436	0	0	17080.002732800436	17080.002732800436	69204.15224913495	0
N32	0	0	0	0	0	0	0	4582.485573502236	0	0	0	0	0	0	0	2098.970664785989	206.71680789558982	0	413.43361579117965	3307.468926329437	0	505.3077526	0	0	1564.8240081558629	0	0	0	0	11026.784245827765	18128.78087873378	0	0	23735.62032576485	19063.25411990563	0	0	39434.770777451835	4672.366205859223	0	7598.805191503708	0	40292.390144583376	0	0	779.6176754919388	22608.912589266227	127708.80017582235	119912.62342090296	67195.61869716234	89656.03268157295	763.2620599221779	0	0	0	0	0	0	0	0	0	0	0	0	4734.664421937345	1993.5429144999348	6496.813962432823	0	3612.862399	4183.314356298208	7796.176754919388	2662.109135826133	3232.561093503161	3118.4707019677553	520050.8494163874	3042.4104409441516	190.15065255900947	3232.561093503161	1711.3558730310851	1711.3558730310851	570.4519576770284	2281.8078307081137	1335.7086048638114	1901.5065255900947	1331.0545679130664	0	2662.109135826133	1711.3558730310851	1901.5065255900947	950.7532627950474	2091.657178149104	1521.2052204720758	1521.2052204720758	8731.717965509715	0
N28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343112.0260765139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214845.8481039854	0	0	0	0	39096.098209398704	39096.098209398704	78192.19641879741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80099.32316071929	0	80099.32316071929	0	0	0	380324.54361054767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N35	0	0	0	62541.88072	134018.31583649764	69320.65755595168	76440.07644007643	313334.59508338064	68261.04975742949	108932.46187363836	32760.032760032755	14692.378328741966	6956.618526866461	2086.9855580599383	0	0	2086.9855580599383	11301.829483647665	695.6618526866461	0	0	4534.684669364804	46309.48988	222030.3441470334	115853.87929473951	0	9730.051873339049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2498.7037974050963	1874.027848053822	2498.7037974050963	624.6759493512741	0	0	0	0	0	0	0	56996.29524080935	0	0	0	0	0	0	0	0	0	0	4479.383636811575	7039.031429275332	6399.119481159393	0	7870.916961826053	5401.609679684547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N27	0	15624.755863189639	0	47468.99365733446	37369.20777279521	59534.27708901199	40399.14353815698	133359.5773571127	45471.38114	60450.189044227554	22219.52894598634	8408.071748878923	0	0	44392.498595341836	0	0	0	0	0	0	0	19328.90057213546	11154.987394864243	18751.573792800467	0	0	17992.581520234733	0	0	0	0	0	0	0	0	0	0	0	4502.314189	0	0	0	0	0	0	0	635.5307444352928	0	1271.0614888705857	635.5307444352928	0	618.6954929	0	689.4687780958527	0	0	43765.73883300341	357584.6606	0	0	0	0	0	0	0	0	241132.38799337455	651.0314942995683	651.0314942995683	1302.0629885991366	0	0	258915.2252829383	0	0	651.0314942995683	0	0	0	0	651.0314942995683	0	0	0	0	0	0	0	0	0	0	0	0	0
N29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199004.97512437808	95579.45042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68027.21088435373	0	22675.736961451246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23228.803716608592	23228.803716608592	0	0	0	392156.8627450981	23228.803716608592	185830.42973286874	0	0	69686.41114982578	46457.607433217185	0	0	0	0	23228.803716608592	0	0	0	0	0	0	23228.803716608592	0	0
N15	0	0	0	0	0	0	0	24722.631096505742	0	0	0	0	0	1467.926231254582	0	13627.517364438141	419.40749464416626	0	1328.1237330398599	11673.508600929295	0	2392.176080563023	0	137.7158937637561	0	0	0	0	0	21045.06373810385	29892.838282652017	0	0	28502.47371136588	26037.736516813176	0	0	69455.03017	13082.066648010503	0	47769.98274	0	0	0	27481.751519561632	0	527.2551361240947	167654.5795937449	148698.50208071197	114615.22363840441	136019.2714262992	129.04845989051273	0	0	0	0	0	1330.0129559887075	8590.622476504648	0	0	0	0	0	421.3225973594365	252.7935584156619	16110.573603791785	0	16782.145186388872	18003.833916432504	32599.799270111715	7072.934752884198	7973.126448705824	2109.020544496379	130466.56962070664	2057.5810190208576	835.8922889772234	2121.8804258652594	2314.778646398465	1478.8863574212414	964.4911026660271	3150.6709353756887	1677.6299785766653	2764.8744943092775	1543.1857642656435	1093.0899163548306	2250.479239554063	1993.281612176456	2314.778646398465	1671.7845779544468	2121.8804258652594	900.1916958216253	1093.0899163548306	26182.869759762405	0
N19	0	0	0	0	0	0	0	12528.143230702979	0	0	0	0	0	0	0	0	0	0	0	0	0	118.25816135048927	0	3526.5642743026506	1968.4261695758862	0	0	0	0	22569.489095000226	30748.74192594023	0	0	32585.793363905366	26637.245850494455	0	0	71557.52744073716	12728.142105901292	0	31121.356638945217	0	40225.45832254587	0	0	0	0	70983.85799266511	59341.46267930266	48263.81042	54171.891625981276	0	0	13431.683418332324	10792.475448414394	9331.485322209826	9755.643745946636	0	0	0	0	0	0	0	4723.846555	1108.0627721059543	11859.604181149067	0	2714.581069606353	3471.103662775337	6007.679416341929	1023.5305672286249	1023.5305672286249	0	546561.3963	4628.138217033783	1468.5438573280271	6408.191377431391	4583.636888023842	2269.567779506951	712.0212641590434	4672.6395460437225	2590.1018276205064	6319.188719411511	3738.111636834978	979.0292382186848	5785.172771292228	5518.164797232587	4939.6475201033645	4806.143533073543	5918.676758322049	2091.562463	2581.0770825765326	570.9782284498917	0
N17	60.647506744609224	9582.306065648258	141.51084907075486	62.72372769622647	125.44745539245294	142.20452970345463	62.72372769622647	132.86896515803699	77.01696653	0	407.70423002547204	406.1361368330665	0	0	4608.637013708556	0	0	0	0	0	0	0	37.51257421487683	146152.72173560935	0	806.8929870855624	3458.1128017952674	0	0	0	0	0	0	0	0	0	39.73934802671883	0	0	0	0	4590.146211946953	108.44756657758782	15672.413886962067	0	0	0	128372.96258984922	103191.73272595259	78898.55563938773	98021.29211126536	0	0	21.40939045	0	21.40939045	0	313.6186384811324	3501.173593388504	404.78684734192666	2351.448998655891	80.95736946838534	76.67768473877905	2632.6005093647477	0	0	0	0	1031.0076146583567	828.8492588429928	727.7700809353106	606.4750674460922	3517.555391187335	1574.8135918016862	527209.0734225877	4710.289690497983	4649.642183753374	1010.7917790768204	1051.2234502398933	5336.980593525612	1415.1084907075485	1698.1301888490582	1541.7755444212312	1273.5976416367937	525.6117251199466	1212.9501348921845	1192.734299310648	1677.9143532675218	1051.2234502398933	1031.0076146583567	1010.7917790768204	4811.368868405665	2486.5477765289784	5419.699036058063	3334.282208358267
N20	0	80099.32316071929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85778.00651912848	82396.07794668975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42414.21724562073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40049.66158035964	40049.66158035964	80099.32316071929	0	164203.61247947454	591615.9567275186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N39	0	0	0	0	0	0	0	0	0	21499.828001375987	23707.918444760548	0	0	0	0	0	0	0	0	0	0	0	0	0	235804.5651763818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193937.22401241199	59672.99200381907	14918.248000954767	134264.2320085929	0	0	32368.74474007898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290247.6780185758	0	30564.215416590254	0	0	15282.107708295127	15282.107708295127	15282.107708295127	15335.541651331125	0	0	45846.323124885384	15282.107708295127	0	0	0	15282.107708295127	15282.107708295127	0	0	0
N24	0	0	0	0	4437.935472	8049.196690170321	4437.935472	0	0	12073.795035255482	13313.806417254693	57471.26437	0	0	58228.23138	0	0	0	0	0	0	0	3538.8709586093655	49016.00372521628	150078.57054575632	10874.411422481757	48934.851401167914	0	2811.705693141688	0	0	112468.2277256675	61857.52524911713	0	0	151832.10742965114	44987.291090267005	0	0	0	0	129907.92126540709	0	0	0	0	0	0	0	0	0	0	160397.56848160594	0	0	0	0	0	0	0	0	26730.82063619353	108504.58974414617	0	3748.9409241889166	3748.9409241889166	0	0	0	0	2860.6901128828317	0	8582.070338648497	58644.14731409805	6036.897517627741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N40	0	0	0	680.1497859866188	1955.4306347115294	462.60187649825184	1020.2246789799283	10205.491779236241	1113.5195611285353	1002.3040657462122	340.0748929933094	157.28463800940563	1131.9727735525405	774.5076871675276	0	4113.598224861378	476.6201152	241.97636616831633	238.3100575900085	5004.511209390179	0	970.8928272185533	406.7706155415663	939.0127642352574	2593.223422377297	0	0	0	0	12873.639891865734	17775.318679145155	0	0	20737.871792336013	15243.682382418421	0	0	40182.993135279656	8510.607125166469	0	12244.310427314489	0	67470.69986	0	0	0	0	155412.2018	125988.20493610553	101165.05118224015	121280.36543106209	0	0	0	0	0	0	0	2169.4432828883537	0	0	0	0	0	646.3752246961875	718.1946941	8238.719133826009	0	4000.619712434359	2575.7414586906148	7398.406317515595	1370.0752439843695	2356.5294196531154	1460.500210087338	395408.9539368808	2301.7264098937408	822.0451463906218	2575.7414586906148	2575.7414586906148	1205.6662147062452	1698.8933025406182	2740.150487968739	1319.8710881908164	3233.3775758031124	1644.0902927812435	2192.1203903749915	3178.5745660437374	2246.923400134366	2520.9384489312397	2192.1203903749915	2740.150487968739	767.2421366	1150.8632049468704	518.1141016780421	0
N38	0	0	0	0	0	0	0	10604.626406275149	0	0	0	0	0	72.08416662629952	0	0	72.08416662629952	0	0	0	0	411.1467281648196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18789.33112871848	0	26677.878489733284	0	0	0	0	184670.80826393128	154895.63413094552	109585.58653727152	142144.09216529728	532.3138458557504	0	0	0	0	0	0	0	0	0	0	0	0	347.58392674599224	260.6879450594942	0	0	5304.590938	3978.443203346985	7227.505152747022	1326.147734448995	3315.3693361224873	0	520252.6317674821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74404.76190476191	106292.51700680272	88577.09750566893	35430.839002267574	88577.09750566893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145180.02322880374	181475.02903600465	145180.02322880374	36295.005807200934	108885.0174216028	0	191482.84313725494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394570.7070707071	0	0	236742.42424242423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283446.7120181406	70861.67800453515	0	70861.67800453515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148809.52380952382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90874.27543992885	0	0	107779.99086025676	31059.180161880446	0	0	0	0	1978.4272294896448	1978.4272294896448	0	0	3956.8544589792896	1978.4272294896448	0	0	45503.826278261826	0	0	0	0	32394.43463612951	31381.27536	0	0	0	47159.244980487856	45194.276439634195	33404.46519451224	37334.40227621956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32094.48616727646	0	0	0	0	0	0	49517.207229512256	242124.57946783566	44283.68126216543	34219.20824803692	8051.578411302805	6038.683808477104	36232.10285086262	22141.840631082716	42270.78665933973	10099.663479212872	12077.367616954209	0	16103.15682260561	18116.05142543131	10064.473014128507	6038.683808477104	16103.15682260561	14090.26221977991	40257.89205651403	28180.52443955982	8155.7753083902535	0
N12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76103.50076103501	76103.50076103501	0	0	0	76103.50076103501	0	0	0	0	0	0	0	0	0	0	0	0	37792.894935752076	75585.78987150415	0	75585.78987150415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163398.69281045752	154858.6914440573	116144.01858304298	0	0	38714.672861014325	38714.672861014325	0	0	0	0	38714.672861014325	0	0	0	77429.34572202865	77429.34572202865	0	38714.672861014325	0	0
N11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91575.09157509157	0	0	0	90187.59018759018	0	0	0	0	512032.77009728627	0	0	0	0	0	0	81539.46510110894	81539.46510110894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350140.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N7	0	0	0	0	0	0	0	19856.252789997343	0	0	0	0	0	0	0	0	0	0	0	0	0	557.2789406796072	0	0	0	0	0	0	0	24772.671129302988	34859.515380080025	0	0	40308.73009026991	28250.893284743346	0	0	86375.85019343553	14763.120704202405	0	34997.47018286964	0	0	0	0	0	644.8513456435455	147049.13721192995	121255.08338618813	90778.18050279675	110046.95285476459	1262.6459914698794	0	0	0	0	0	0	0	0	0	0	0	0	1958.1102504701269	927.5259081174286	29063.09189740702	0	23788.72342160641	17576.131189186883	36017.30686643218	9122.287329	12110.622832817808	161.21283641088638	239430.6967827418	3971.3406042681772	1415.5273440955878	4443.183052	3814.059788257556	2083.9708121407266	235.92122401593133	4049.9810122734875	2525.291982939759	4521.823460305351	2280.5718321540025	825.7242840557595	4167.941624281453	4128.621420278798	3538.8183602389695	3420.857748231004	4285.902236289418	2241.2516281513476	2123.2910161433815	318.6324296121049	0
N9	0	0	0	0	0	0	0	0	0	0	0	0	84175.08417508416	42087.54208754208	0	0	42087.54208754208	128205.12820512819	0	0	0	34293.55281207133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75585.78987150415	37792.894935752076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285947.7124183006	0	154858.6914440573	0	0	77429.34572202865	0	38714.672861014325	0	0	0	38714.672861014325	38714.672861014325	0	0	0	0	77429.34572202865	38714.672861014325	0	0
N8	0	0	0	0	0	0	0	67628.68470661831	0	0	0	0	0	0	0	0	0	0	0	4194.771636632102	0	3417.9620742928237	0	8264.326209	31753.970238591395	0	0	0	0	7585.066521	7585.066521	0	0	3792.533260516695	3792.533260516695	0	0	22755.199563100166	3792.533260516695	0	35044.92759717959	0	20699.43387048364	0	0	0	0	67801.20686148213	143135.88115201786	56501.005717901775	79101.40800506249	0	0	0	0	0	0	0	0	0	0	0	0	0	5056.711014022259	0	0	0	0	0	0	0	0	0	191355.61201224677	27010.23687977744	46303.26322247561	7717.210537079268	27010.23687977744	42444.65795393597	15434.421074158536	34727.44742	23232.581372116256	3858.605268539634	11575.815805618902	3858.605268539634	42444.65795393597	34727.44742	27010.23687977744	15434.421074158536	3858.605268539634	30868.84214831707	30868.84214831707	0	0
N25	0	0	0	0	0	0	0	35463.82246810473	0	0	0	0	0	0	0	0	0	0	0	13198.183929891247	65249.44864215897	0	0	0	0	0	0	0	0	7955.069765961848	39775.34882980924	0	0	19887.67441490462	11932.604648942772	0	0	31820.279063847393	3977.534882980924	0	44105.32351254797	0	0	0	0	0	0	114563.82785402198	138266.68878933688	75059.05962849717	90860.96692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24280.97949471282	0	16187.31966314188	4046.829916	4046.829916	0	439810.0703696113	12140.48974735641	0	4046.829916	0	0	0	0	0	4046.829916	8093.659832	0	0	0	12140.48974735641	0	0	0	0	0	0
N18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225490.1960784316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199004.97512437808	191158.9008363202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158730.15873015873	136054.42176870746	90702.94784580499	45351.47392290249	0	0	0	0	0	24600.246002460022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343137.2549019608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N14	0	0	0	97.01397768	232.83354642453529	175.9567242178882	19.40279553537794	8754.585779445431	95.29691612508634	193.55239663967703	77.61118214151176	0	0	339.91639905728397	0	1684.3119047441544	13.59665596229136	0	108.77324769833088	1658.792027399546	0	686.8829160209414	69.62425553104369	0	0	0	0	0	0	11112.75179909797	15771.748405135722	0	0	17283.771050366973	13964.696951078862	0	0	37800.566130781255	6207.897852372206	0	13244.864002963215	0	16337.33517532594	0	0	0	102.55763354414054	159782.35121335325	131969.69773554942	99810.55407420821	122788.34768493113	100.40607479845929	0	0	0	0	0	226.36594791274266	1237.7645427741102	0	0	0	0	0	868.6959370976289	508.1051707552169	9116.234092812494	0	1801.0121012629559	1888.5613006299054	3376.8976898680426	875.4919936694924	1200.6747341753041	640.9852096508785	448768.82728151296	4102.305341765622	1300.730962023246	4577.5724240433465	3226.8133480961296	1375.7731329092026	412.73193987276073	4452.502139233419	2020.672255318993	4627.600537967317	2739.039237337412	913.0130791124707	4602.586481005332	3864.6718006267597	3802.136658221796	3014.1938639192526	4852.727050625187	1725.9699303769994	1463.3223322761519	160.47253248671404	0
N37	0	0	0	0	0	0	0	154213.89467190992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301522.6896	72408.67455921219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34357.17721432007	0	68714.35442864014	34357.17721432007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108225.10822510823	445632.79857397504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373134.3283582089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28344.671201814057	56689.342403628114	56689.342403628114	28344.671201814057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367647.0588235294	29036.004645760742	0	0	29036.004645760742	29036.004645760742	0	0	0	29036.004645760742	29036.004645760742	0	58072.009291521485	0	0	29036.004645760742	0	0	0	39215.686274509804	0
